date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:38	67816/67816	---MCZ	200	added ('OK')	text/html	etag:W/%222b758459d5f097b4cf55c8b9a7f57ba8%22	https://sahmsolution.com/index.html	C:/My%20Web%20Sites/portfolio/sahmsolution.com/index.html	(from )
14:13:39	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Oct%202024%2008:43:39%20GMT	https://sahmsolution.com/robots.txt		(from )
14:13:39	943/943	---M--	200	added ('OK')	image/svg+xml	etag:%222ecc2a8f62248b581cd93578a094a708%22	https://sahmsolution.com/assets/images/fav.svg	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/images/fav.svg	(from https://sahmsolution.com/index.html)
14:13:40	155845/155845	---MCZ	200	added ('OK')	text/css	etag:W/%22abe91756d18b7cd60871a2f47c1e8192%22	https://sahmsolution.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/css/bootstrap.min.css	(from https://sahmsolution.com/index.html)
14:13:40	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://sahmsolution.com/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/css/font-awesome.min.css	(from https://sahmsolution.com/index.html)
14:13:41	3319/3319	---MCZ	200	added ('OK')	text/css	etag:W/%226261919f5abd417e4c6c5a79cab54d99%22	https://sahmsolution.com/assets/fonts/flaticon.css	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/fonts/flaticon.css	(from https://sahmsolution.com/index.html)
14:13:42	71300/71300	---MCZ	200	added ('OK')	text/css	etag:W/%22088343019be9a669ab6fb8644011eb48%22	https://sahmsolution.com/assets/css/animate.css	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/css/animate.css	(from https://sahmsolution.com/index.html)
14:13:42	4072/4072	---MCZ	200	added ('OK')	text/css	etag:W/%22bf2b574c6ee48f87fcc0ba22efce4347%22	https://sahmsolution.com/assets/css/owl.carousel.css	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/css/owl.carousel.css	(from https://sahmsolution.com/index.html)
14:13:43	1729/1729	---MCZ	200	added ('OK')	text/css	etag:W/%2213b1b6672b8cfb0d9ae7f899f1c42875%22	https://sahmsolution.com/assets/css/slick.css	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/css/slick.css	(from https://sahmsolution.com/index.html)
14:13:43	5487/5487	---MCZ	200	added ('OK')	text/css	etag:W/%22b1cbd662afc59a57ac9c1af9bfa9629b%22	https://sahmsolution.com/assets/css/off-canvas.css	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/css/off-canvas.css	(from https://sahmsolution.com/index.html)
14:13:44	6954/6954	---MCZ	200	added ('OK')	text/css	etag:W/%222b3e689bc4cdc91f7fd9be33779befc1%22	https://sahmsolution.com/assets/css/magnific-popup.css	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/css/magnific-popup.css	(from https://sahmsolution.com/index.html)
14:13:44	14501/14501	---MCZ	200	added ('OK')	text/css	etag:W/%225c723be536fc355b2c3e5fefe34348c0%22	https://sahmsolution.com/assets/css/rsmenu-main.css	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/css/rsmenu-main.css	(from https://sahmsolution.com/index.html)
14:13:45	253220/253220	---MCZ	200	added ('OK')	text/css	etag:W/%227f2011ae31200618cf23de0326a7ef3a%22	https://sahmsolution.com/assets/css/rs-spacing.css	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/css/rs-spacing.css	(from https://sahmsolution.com/index.html)
14:13:46	279667/279667	---MCZ	200	added ('OK')	text/css	etag:W/%22c8acf3d1d895d9c19d89daaeb8619ee0%22	https://sahmsolution.com/style.css	C:/My%20Web%20Sites/portfolio/sahmsolution.com/style.css	(from https://sahmsolution.com/index.html)
14:13:46	54974/54974	---MCZ	200	added ('OK')	text/css	etag:W/%22d292d50a97e27df45bed56869e0c74d8%22	https://sahmsolution.com/assets/css/responsive.css	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/css/responsive.css	(from https://sahmsolution.com/index.html)
14:13:46	10014/10014	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2208e8678e948cfe52db8497c39c1ee798%22	https://sahmsolution.com/assets/images/logo-dark.svg	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/images/logo-dark.svg	(from https://sahmsolution.com/index.html)
14:13:47	45561/45561	---MCZ	200	added ('OK')	text/html	etag:W/%2254b52fb61445ac6e323355b424a6bbf3%22	https://sahmsolution.com/about.html	C:/My%20Web%20Sites/portfolio/sahmsolution.com/about.html	(from https://sahmsolution.com/index.html)
14:13:48	19538/19538	---MCZ	200	added ('OK')	text/html	etag:W/%226899190359caae6e4894e8c00fbd553a%22	https://sahmsolution.com/software-development.html	C:/My%20Web%20Sites/portfolio/sahmsolution.com/software-development.html	(from https://sahmsolution.com/index.html)
14:13:48	22233/22233	---MCZ	200	added ('OK')	text/html	etag:W/%22349718a912222f0b710baf83ffb5e561%22	https://sahmsolution.com/outsourcing-and-manpower.html	C:/My%20Web%20Sites/portfolio/sahmsolution.com/outsourcing-and-manpower.html	(from https://sahmsolution.com/index.html)
14:13:49	20434/20434	---MCZ	200	added ('OK')	text/html	etag:W/%227fef1df405e05a902c2132c37b75a1e2%22	https://sahmsolution.com/analytic-solutions.html	C:/My%20Web%20Sites/portfolio/sahmsolution.com/analytic-solutions.html	(from https://sahmsolution.com/index.html)
14:13:50	22446/22446	---MCZ	200	added ('OK')	text/html	etag:W/%227de4ecaa4b644a4b4d5e6b5bff07aedd%22	https://sahmsolution.com/ai-solutions.html	C:/My%20Web%20Sites/portfolio/sahmsolution.com/ai-solutions.html	(from https://sahmsolution.com/index.html)
14:13:50	17366/17366	---MCZ	200	added ('OK')	text/html	etag:W/%229b5de297fd354847f50f0bb360d582f4%22	https://sahmsolution.com/cyber-security.html	C:/My%20Web%20Sites/portfolio/sahmsolution.com/cyber-security.html	(from https://sahmsolution.com/index.html)
14:13:51	20087/20087	---MCZ	200	added ('OK')	text/html	etag:W/%223b08aef87417a545e3dd8deee74bc8e5%22	https://sahmsolution.com/testing-and-qa.html	C:/My%20Web%20Sites/portfolio/sahmsolution.com/testing-and-qa.html	(from https://sahmsolution.com/index.html)
14:13:52	19694/19694	---MCZ	200	added ('OK')	text/html	etag:W/%226a87d1796f97b17d1805ef29494d1f3a%22	https://sahmsolution.com/become-partner.html	C:/My%20Web%20Sites/portfolio/sahmsolution.com/become-partner.html	(from https://sahmsolution.com/index.html)
14:13:52	19442/19442	---MCZ	200	added ('OK')	text/html	etag:W/%22448d17c5f404e29a4dd669267911bc8b%22	https://sahmsolution.com/contact.html	C:/My%20Web%20Sites/portfolio/sahmsolution.com/contact.html	(from https://sahmsolution.com/index.html)
14:13:53	378861/378861	---M--	200	added ('OK')	image/png	etag:%2245d232cdb22c8c43e48d2f44e9ed241c%22	https://sahmsolution.com/assets/images/about/about-6.png	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/images/about/about-6.png	(from https://sahmsolution.com/index.html)
14:13:53	5176/5176	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22693a15b580c445c5db56d5881927dd68%22	https://sahmsolution.com/assets/images/services/main-home/icons/7.svg	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/images/services/main-home/icons/7.svg	(from https://sahmsolution.com/index.html)
14:13:54	5168/5168	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22aafc21df2c82619b621b1f3305db9ceb%22	https://sahmsolution.com/assets/images/services/main-home/icons/7-white.svg	C:/My%20Web%20Sites/portfolio/sahmsolution.com/assets/images/services/main-home/icons/7-white.svg	(from https://sahmsolution.com/index.html)
